frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
1221	13492.536000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9a000707022b867d6201010103f3010103f30101ff12f0032aed030a7668747470733a2f2f6170692e6763732e6761726d696e2e636f6d2f776561746865722f76322f63757272656e743f6c61743d353331353338363833266c6f6e3d3132393039343830332674656d70556e69743d43454c53495553267370656564556e69743d4d45544552535f5045525f5345434f4e4418012a150a0f4163636570742d4c616e6775616765120269742a3c0a0d417574686f72697a6174696f6e122b4265617265722069666a71676a63682d7a37696f2d68626e612d676f6a622d716237367130	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1222	13492.537000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9b6e39787563752a170a0f4163636570742d456e636f64696e671204677a69702a210a1c782d6761726d696e2d696e74f865726e616c2d726571756573742d69641201352a3b0a13782d6761726d696e2d6369712d6170702d6964122432303639383665662d303332642d343633642d386230652d3566613638613263353732382a1d0a17582d4761726d696e2d557365722d496e6974696174656412023f302a1e0a10582d4761726d696e2d556e69742d4944120a333630303334383135382a270a17582d4761726d696e2d53572d506172742d4e756d626572120c3030362d423435	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1233	13492.626000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9c33362d31302a220a19582d4761726d696e2d4669726d776172652d56657273696f6e120532322e33352a170a10582d4761726d696e2d4261636b656e6412034254460cba00	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1234	13492.627000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9d00075f022b877e62010101034b0201034b0201ff12c8042ac5040acd0168747470733a2f2f6170692e6763732e6761726d696e2e636f6d2f776561746865722f76322f666f7265636173742f686f75723f6c61743d353331353338363833266c6f6e3d313239303934383033266475726174696f6e3d3134267370656564556e69743d4d45544552535f5045525f5345434f4e442674656d70556e69743d43454c53495553267072657373757265556e69743d494e434845535f4f465f4d455243555259267669736962696c697479556e69743d4d455445522674696d65734f66496e	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1235	13492.716000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9e7465726573743d18012a150a0f4163636570742d4c616e6775616765120269742a3c0a0d417574686f72697a617469ff6f6e122b4265617265722069666a71676a63682d7a37696f2d68626e612d676f6a622d7162373671306e39787563752a170a0f4163636570742d456e636f64696e671204677a69702a210a1c782d6761726d696e2d696e7465726e616c2d726571756573742d69641201352a3b0a13782d6761726d696e2d6369712d6170702d6964122432303639383665662d303332642d343633642d386230652d3566613638613263353732382a1d0a17582d4761726d69	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1236	13492.717000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9a9f6e2d557365722d496e6974696174656412023f302a1e0a10582d4761726d696e2d556e69742d4944120a333630303334383135382a270a17582d4761726d696e2d53572d506172742d4e75526d626572120c3030362d42343533362d31302a220a19582d4761726d696e2d4669726d776172652d56657273696f6e120532322e33352a170a10582d4761726d696e2d4261636b656e6412034254469f9400	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1237	13492.718000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9aa00007fb012b887f6201010103e7010103e70101ff12e4032ae1030a6a68747470733a2f2f6170692e6763732e6761726d696e2e636f6d2f776561746865722f76322f666f7265636173742f6461793f6c61743d353331353338363833266c6f6e3d313239303934383033266475726174696f6e3d352674656d70556e69743d43454c5349555318012a150a0f4163636570742d4c616e6775616765120269742a3c0a0d417574686f72697a6174696f6e122b4265617265722069666a71676a63682d7a37696f2d68626e612d676f6a622d7162373671306e39787563752a170a0f4163	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1238	13492.720000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9aa1636570742d456e636f64696e671204677a69702a210a1c782d6761726d696e2d696e7465726e616c2d726571756573ec742d69641201352a3b0a13782d6761726d696e2d6369712d6170702d6964122432303639383665662d303332642d343633642d386230652d3566613638613263353732382a1d0a17582d4761726d696e2d557365722d496e6974696174656412023f302a1e0a10582d4761726d696e2d556e69742d4944120a333630303334383135382a270a17582d4761726d696e2d53572d506172742d4e756d626572120c3030362d42343533362d31302a220a19582d47	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1239	13492.721000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018												9aa261726d696e2d4669726d776172652d56657273696f6e120532322e33352a170a10582d4761726d696e2d4261636b656e641203425446486200	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown)
1240	13492.880000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b												98c0	Sent Write Command, Handle: 0x001b (Unknown)
