frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
46214	18869.259000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x08		0x0001	0xffff							0x2a00				Rcvd Read By Type Request, Device Name, Handles: 0x0001..0xffff
46228	18869.559000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x1d	0x0008												0a00ffff	Sent Handle Value Indication, Handle: 0x0008 (Unknown)
46229	18869.559000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x09	0x0003									0x2a00,0x2a00				Sent Read By Type Response, Attribute List Length: 1
46235	18869.564000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x02														Sent Exchange MTU Request, Client Rx MTU: 185
46239	18869.619000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1e	0x0008													Rcvd Handle Value Confirmation, Handle: 0x0008 (Unknown)
46240	18869.619000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x10		0x0001	0xffff							0x2800				Rcvd Read By Group Type Request, Primary Service, Handles: 0x0001..0xffff
46241	18869.619000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x11	0x0001,0x0006,0x000a			0x0005,0x0009,0x000e	0x1800,0x1801					0x1800,0x1801,0x180a,0x2800				Sent Read By Group Type Response, Attribute List Length: 3, GAP, GATT, Device Information
46242	18869.619000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x03														Rcvd Exchange MTU Response, Server Rx MTU: 185
46255	18869.622000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x06		0x0001	0xffff							0x2800			0d18	Sent Find By Type Value Request, Primary Service, Handles: 0x0001..0xffff
46257	18869.679000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x10		0x000f	0xffff							0x2800				Rcvd Read By Group Type Request, Primary Service, Handles: 0x000f..0xffff
46258	18869.679000000	0x0402	00:00:00:00:00:00	70:de:f9:d6:ab:5f	0x0004	0x11	0x000f,0x0013			0x0012,0x0018	0x180a,0x180f					0x180f,0x1805,0x2800				Sent Read By Group Type Response, Attribute List Length: 2, Battery, Current Time
