frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
2234	166.403000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2247	166.425000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2280	168.415000000	0x3e	0x0a	0x0404	f1:ab:93:36:5f:c4	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2310	168.475000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
2312	168.894000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
2375	168.985000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
2382	169.180000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
2428	169.706000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
2514	174.417000000	0x3e	0x0a	0x0405	f6:b4:4d:47:48:f1	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2526	174.477000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
2528	174.896000000	0x3e	0x0c	0x0405		0x00	Rcvd LE Meta (LE PHY Update Complete)
2529	174.987000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
2536	175.236000000	0x3e	0x04	0x0405		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
2580	175.859000000	0x05		0x0405		0x00	Rcvd Disconnect Complete
3273	265.164000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
5162	477.200000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
5610	584.591000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
5964	590.045000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
6033	592.084000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
8228	681.271000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
9540	965.922000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10665	1003.375000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10961	1032.336000000	0x3e	0x0a	0x0403	cc:86:db:02:42:81	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10971	1032.487000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
10974	1032.966000000	0x3e	0x0c	0x0403		0x00	Rcvd LE Meta (LE PHY Update Complete)
10975	1033.057000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
10992	1033.343000000	0x3e	0x04	0x0403		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
11041	1035.431000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
13379	1239.427000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
14360	1329.185000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14370	1330.296000000	0x3e	0x0a	0x0403	f1:ab:93:36:5f:c4	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14372	1330.300000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
14391	1330.321000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14422	1334.316000000	0x3e	0x0a	0x0403	f1:ab:93:36:5f:c4	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14424	1334.320000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
14443	1334.342000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14656	1360.170000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14727	1363.305000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
14746	1370.254000000	0x3e	0x0a	0x0403	f1:ab:93:36:5f:c4	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
