frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
794	13440.244000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
1499	13602.504000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2075	13610.735000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2487	13907.701000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2497	13907.734000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2550	13909.416000000	0x3e	0x0a	0x0403	f9:1c:52:63:45:3d	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2563	13909.477000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
2572	13909.898000000	0x3e	0x0c	0x0403		0x00	Rcvd LE Meta (LE PHY Update Complete)
2576	13909.988000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
2590	13910.171000000	0x3e	0x04	0x0403		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
2635	13910.679000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
2651	13911.429000000	0x3e	0x0a	0x0404	d1:90:9b:35:2e:65	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2664	13911.490000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
2673	13911.726000000	0x3e	0x0a	0x0403	cf:e0:c5:be:2e:81	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
2688	13911.787000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
2695	13911.908000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
2700	13912.000000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
2714	13912.186000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
2718	13912.206000000	0x3e	0x0c	0x0403		0x00	Rcvd LE Meta (LE PHY Update Complete)
2729	13912.298000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
2762	13912.484000000	0x3e	0x04	0x0403		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
2877	13912.695000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
2902	13912.926000000	0x3e	0x03	0x0403		0x00	Rcvd LE Meta (LE Connection Update Complete)
2956	13913.561000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
3153	14133.962000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
3743	14141.290000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
3978	14212.952000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
4062	14213.369000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
4602	14220.602000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
4772	14249.839000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
5349	14257.130000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
5511	14285.345000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
6218	14292.641000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
6332	14317.231000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
6430	14318.276000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
6523	14335.600000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
7200	14342.902000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
7760	14463.486000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
7887	14472.485000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
7967	14479.324000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
8030	14488.502000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
8341	14628.738000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10556	14744.949000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10574	14745.511000000	0x3e	0x0a	0x0402	cf:e0:c5:be:2e:81	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
10590	14745.572000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
