frame.number	frame.time_relative	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btatt.handle	btatt.value	_ws.col.info
46480	18872.290000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46490	18872.769000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46494	18873.039000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46500	18873.279000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46566	18873.789000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46570	18874.029000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46635	18874.299000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46638	18874.779000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46642	18875.049000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46644	18875.289000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46647	18875.799000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46711	18876.039000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46724	18876.279000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46727	18876.789000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46729	18877.029000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46733	18877.269000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46736	18877.779000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46738	18878.019000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46742	18878.289000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46745	18878.769000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46747	18879.039000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46751	18879.279000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46755	18879.789000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46757	18880.029000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46761	18880.299000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46764	18880.779000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46766	18881.019000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
