frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
46480	18872.290000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46481	18872.349000000	14	70:de:f9:d6:ab:5f	00:00:00:00:00:00	5	0x12	0x0022			Rcvd Write Request, Handle: 0x0022 (Unknown: Unknown: Client Characteristic Configuration)
46482	18872.349000000	10	00:00:00:00:00:00	70:de:f9:d6:ab:5f	1	0x13	0x0022			Sent Write Response, Handle: 0x0022 (Unknown: Unknown: Client Characteristic Configuration)
46485	18872.569000000	16	00:00:00:00:00:00	70:de:f9:d6:ab:5f	7	0x08				Sent Read By Type Request, Device Name, Handles: 0x0001..0x0005
46487	18872.619000000	22	70:de:f9:d6:ab:5f	00:00:00:00:00:00	13	0x09	0x0003			Rcvd Read By Type Response, Attribute List Length: 1
46489	18872.769000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46490	18872.769000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46493	18873.039000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46494	18873.039000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46499	18873.279000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46500	18873.279000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46565	18873.789000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46566	18873.789000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46569	18874.029000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46570	18874.029000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46634	18874.299000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
