FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46214 18869.259000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46228 18869.559000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46229 18869.559000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0003  0  
46235 18869.564000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x02   0  
46239 18869.619000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1e 0x0008  0  
46240 18869.619000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x10   0  
46241 18869.619000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x11 0x0001,0x0006,0x000a  0  
46242 18869.619000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x03   0  
46255 18869.622000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x06   2 0d18 ..
46257 18869.679000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x10   0  
46258 18869.679000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x11 0x000f,0x0013  0  
46261 18869.709000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x01 0x0001  0  
46276 18869.709000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x06   16 00000000000000b000405104c0ff00f0 .........@Q.....
46277 18869.739000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x10   0  
46278 18869.739000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x11 0x0019,0x0023,0x002f,0x0034,0x0039  0  
46281 18869.768000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x01 0x0001  0  
46292 18869.799000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x10   0  
46293 18869.799000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x003e  0  
46295 18869.859000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46296 18869.859000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0005  0  
46298 18869.919000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46299 18869.919000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0002,0x0003,0x0004,0x0005  0  
