frame.number	frame.time_relative	btatt.opcode	btatt.handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	_ws.col.info
2608	13910.348000000	0x11	0x000b,0x000e,0x003a,0x005d	0x1801	7dfc80007d1c495186aa8d9728f8d66c,7dfc70007d1c495186aa8d9728f8d66c,7dfc60007d1c495186aa8d9728f8d66c				0x2800	6cd6f828978daa8651491c7d0080fc7d,6cd6f828978daa8651491c7d0070fc7d,6cd6f828978daa8651491c7d0060fc7d,6cd6f828978daa8651491c7d0090fc7d	Rcvd Read By Group Type Response, Attribute List Length: 4, Unknown, Unknown, Unknown, Unknown
2739	13912.359000000	0x11	0x000b,0x000e,0x003a,0x005d						0x2800	7dfc80007d1c495186aa8d9728f8d66c,6cd6f828978daa8651491c7d0080fc7d,7dfc70007d1c495186aa8d9728f8d66c,6cd6f828978daa8651491c7d0070fc7d,7dfc60007d1c495186aa8d9728f8d66c,6cd6f828978daa8651491c7d0060fc7d,7dfc90007d1c495186aa8d9728f8d66c,6cd6f828978daa8651491c7d0090fc7d	Rcvd Read By Group Type Response, Attribute List Length: 4, Unknown, Unknown, Unknown, Unknown
2870	13912.688000000	0x12	0x0017		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0017 (Unknown: Unknown)
2893	13912.779000000	0x13	0x0017		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0017 (Unknown: Unknown)
2894	13912.779000000	0x12	0x001a		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x001a (Unknown: Unknown)
2897	13912.837000000	0x13	0x001a		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x001a (Unknown: Unknown)
2898	13912.837000000	0x12	0x001d		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x001d (Unknown: Unknown)
2899	13912.897000000	0x13	0x001d		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x001d (Unknown: Unknown)
2900	13912.897000000	0x12	0x0020		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0020 (Unknown: Unknown)
2906	13912.957000000	0x13	0x0020		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0020 (Unknown: Unknown)
2907	13912.957000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2909	13913.017000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2910	13913.017000000	0x0a	0x000d		7dfc80007d1c495186aa8d9728f8d66c						Sent Read Request, Handle: 0x000d (Unknown: Unknown)
2911	13913.017000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2912	13913.017000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2913	13913.047000000	0x0b	0x000d		7dfc80007d1c495186aa8d9728f8d66c						Rcvd Read Response, Handle: 0x000d (Unknown: Unknown)
2916	13913.047000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2919	13913.107000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2920	13913.107000000	0x12	0x0037		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0037 (Unknown: Unknown)
2921	13913.107000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2922	13913.107000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2923	13913.137000000	0x13	0x0037		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0037 (Unknown: Unknown)
2924	13913.137000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2926	13913.197000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
2927	13913.197000000	0x1d	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Indication, Handle: 0x0016 (Unknown: Unknown)
2928	13913.197000000	0x1e	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Handle Value Confirmation, Handle: 0x0016 (Unknown: Unknown)
2929	13913.198000000	0x12	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Sent Write Request, Handle: 0x0016 (Unknown: Unknown)
2932	13913.257000000	0x13	0x0016		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Write Response, Handle: 0x0016 (Unknown: Unknown)
